"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio","Followers gained","Views gained","FPR","VPR",""
"Fall Guys: Ultimate Knockout","24","Fall Guys: Ultimate Knockout","2352711240","83082240","411729","2953","248624","18153","641","28.32","2292032","56948369","1.655250508411906","41.12674549939915","Fall Guys: Ultimate Knockout"
"Overwatch","25","Overwatch","2239667520","137706540","71982","2489","159293","17281","1062","16.26","1353907","43623586","0.58990967313535","19.007195736673072","Overwatch"
"PLAYERUNKNOWN'S BATTLEGROUNDS","26","PLAYERUNKNOWN'S BATTLEGROUNDS","2153080680","113172240","74944","1364","87125","16613","873","19.02","890025","61866574","0.471860413825864","32.799513732342845","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Tom Clancy's Rainbow Six Siege","27","Tom Clancy's Rainbow Six Siege","2038466880","183083400","82802","3522","264200","15728","1412","11.13","1613580","39978345","0.5288016281104677","13.101683167343408","Tom Clancy's Rainbow Six Siege"
"Special Events","28","Special Events","1943577120","6650520","2184938","5155","15872","14996","51","292.24","902670","62853627","8.143754172606052","567.0560527597842","Special Events"
"Destiny 2","29","Destiny 2","1865276940","161005440","402791","20975","123999","14392","1242","11.59","759901","33677024","0.2831833508234256","12.550019676353793","Destiny 2"
"NBA 2K21","30","NBA 2K21","1798045020","109738200","91190","3062","112047","13873","846","16.38","1872879","22775147","1.0240075014899097","12.452444271912606","NBA 2K21"
"Path of Exile","31","Path of Exile","1755097020","39127260","141391","3697","21705","13542","301","44.86","256295","28768852","0.3930175534908399","44.11581899678127","Path of Exile"
"Garena Free Fire","32","Garena Free Fire","1623410640","32827740","99384","613","38253","12526","253","49.45","4199617","38022826","7.675734607377785","69.49517572638263","Garena Free Fire"
"Assassin's Creed Valhalla","33","Assassin's Creed Valhalla","1577867160","50179380","284130","6749","66559","12174","387","31.44","457201","35539065","0.54667993107926","42.49442500086689","Assassin's Creed Valhalla"
"Art","34","Art","1526803260","95978520","109701","1125","99109","11780","740","15.91","1723234","37053664","1.077262287436814","23.16372288299507","Art"
"Demon's Souls","35","Demon's Souls","1520425500","12076920","222803","853","18949","11731","93","125.9","296400","28165264","1.4725608847288878","139.92937272085928","Demon's Souls"
"Old School RuneScape","36","Old School RuneScape","1138676280","25948500","93917","629","16296","8786","200","43.88","698785","13643851","1.615781259032314","31.548299901728424","Old School RuneScape"
"Talk Shows & Podcasts","37","Talk Shows & Podcasts","1128047460","23692440","334877","457","26147","8704","182","47.61","540223","36798051","1.3680895678115044","93.18934900753152","Talk Shows & Podcasts"
"Poker","38","Poker","1071433980","14248500","77415","336","8929","8267","109","75.2","330607","19130936","1.3921760185282661","80.55978945152121","Poker"
"Chess","39","Chess","1071305460","8381820","96998","185","12543","8266","64","127.81","380663","71341915","2.7249189316878675","510.69038705197676","Chess"
"ASMR","40","ASMR","953683980","15031080","23922","168","7137","7358","115","63.45","663717","18394015","2.6493784877733337","73.42392562610272","ASMR"
"DayZ","41","DayZ","884108460","36245280","66009","624","33634","6821","279","24.39","272319","12303401","0.45079359298645233","20.36690184211572","DayZ"
"Hades","42","Hades","875521020","24945300","57365","512","43803","6755","192","35.1","220387","13947042","0.5300886339310411","33.546300104628926","Hades"
"StarCraft II","43","StarCraft II","873106740","11515080","43611","148","10242","6736","88","75.82","131137","16832464","0.6832970331078898","87.70654133536198","StarCraft II"
"Magic: The Gathering","44","Magic: The Gathering","865133820","15531780","42987","311","13960","6675","119","55.7","162296","13593936","0.6269571163124896","52.51401706694275","Magic: The Gathering"
"Sports","45","Sports","839547900","7611360","157173","159","11713","6477","58","110.3","504371","75371548","3.9759333417418175","594.1504382922369","Sports"
"Pokémon Sword/Shield","46","Pokémon Sword/Shield","786941880","29184660","69601","1855","26553","6072","225","26.96","453648","11689719","0.9326433818314142","24.032595891129105","Pokémon Sword/Shield"
"Rust","47","Rust","785611020","32341620","50077","877","34896","6061","249","24.29","548237","12632257","1.0170863426136354","23.435295449022036","Rust"
"Brawlhalla","48","Brawlhalla","746601480","16964640","165626","286","42342","5760","130","44.01","361039","7690431","1.2769112695583285","27.19927213309566","Brawlhalla"
"Call Of Duty: Modern Warfare","49","Call Of Duty: Modern Warfare","725427540","196426980","161169","11495","282373","5597","1515","3.69","285559","13102668","0.08722600123465728","4.002301924104316","Call Of Duty: Modern Warfare"
"SMITE","50","SMITE","712458960","35418720","24941","579","33754","5497","273","20.12","138576","8325310","0.23475043705701393","14.103236932334088","SMITE"
"World of Tanks","51","World of Tanks","688506300","26369580","131606","613","17407","5312","203","26.11","208121","16449833","0.4735479290910208","37.42911263660627","World of Tanks"
"Black Desert Online","52","Black Desert Online","677066100","26407680","68099","357","15538","5224","203","25.64","188265","15868940","0.4277505634724444","36.055283917405845","Black Desert Online"
"VRChat","53","VRChat","638522160","15519060","73152","360","19112","4926","119","41.14","464681","8554987","1.796555976972832","33.07540662900975","VRChat"
"Eternal Return: Black Survival","54","Eternal Return: Black Survival","637590900","10927560","85642","439","12059","4919","84","58.35","130198","13675036","0.7148787103433887","75.0855781162492","Eternal Return: Black Survival"
"Spelunky 2","55","Spelunky 2","637393080","5413860","60319","354","8405","4918","41","117.73","62962","6919234","0.6977867916791347","76.68355664904523","Spelunky 2"
"Tibia","56","Tibia","634280040","22437840","13574","363","9108","4894","173","28.27","335610","18269555","0.8974393257104962","48.85378004299879","Tibia"
"Madden NFL 21","57","Madden NFL 21","605568900","57844560","38117","1578","68417","4672","446","10.47","269931","6178178","0.27998933694024125","6.408393114235807","Madden NFL 21"
"Sea of Thieves","58","Sea of Thieves","604007520","50307360","42929","1046","67014","4660","388","12.01","315981","11645460","0.37686056274867136","13.889172478937475","Sea of Thieves"
"Dungeons & Dragons","59","Dungeons & Dragons","585063600","14812320","84210","557","13577","4514","114","39.5","138601","7277407","0.5614285945753265","29.478462523088886","Dungeons & Dragons"
"World of Warships","60","World of Warships","556246200","13603920","62728","224","8607","4292","104","40.89","131917","9007272","0.581819063916871","39.72651412240001","World of Warships"
"LOST ARK","61","LOST ARK","516147720","10310100","42242","349","5857","3982","79","50.06","69043","10097197","0.40179823668053655","58.76100328803794","LOST ARK"
"Retro","62","Retro","515378640","23550960","20254","358","16538","3976","181","21.88","106139","6935483","0.27040681144208134","17.669300104963874","Retro"
"Watch Dogs: Legion","63","Watch Dogs: Legion","509258580","14732640","321164","2551","30068","3929","113","34.57","165969","11093870","0.6759236633760141","45.18078226305672","Watch Dogs: Legion"
"Rogue Company","64","Rogue Company","453732060","65690700","93304","1696","128187","3501","506","6.91","329451","9094259","0.30091108787088583","8.306435157488046","Rogue Company"
"MapleStory","65","MapleStory","439187580","12165660","28950","199","9003","3388","93","36.1","116145","10704804","0.5728172577566691","52.79518250551141","MapleStory"
"Science & Technology","66","Science & Technology","434501580","30734400","37329","394","18939","3352","237","14.14","890558","9921831","1.7385561455567702","19.369496720287366","Science & Technology"
"The Dark Pictures Anthology: Little Hope","67","The Dark Pictures Anthology: Little Hope","425702400","7887360","308255","2097","24567","3284","60","53.97","127241","8495183","0.9679360394352483","64.62377525559883","The Dark Pictures Anthology: Little Hope"
"Monster Hunter: World","68","Monster Hunter: World","422166240","31638120","41531","1265","36269","3257","244","13.34","110772","6688819","0.21007316490360362","12.684986971412966","Monster Hunter: World"
"Marvel's Spider-Man: Miles Morales","69","Marvel's Spider-Man: Miles Morales","408761520","13168800","190903","1749","29413","3154","101","31.04","191815","8257707","0.873952068525606","37.62396118097321","Marvel's Spider-Man: Miles Morales"
"FINAL FANTASY XIV Online","70","FINAL FANTASY XIV Online","407711340","45399420","36989","1032","31616","3145","350","8.98","88313","6465343","0.11671470692797396","8.544615327684802","FINAL FANTASY XIV Online"
"Games + Demos","71","Games + Demos","403041300","10340460","63363","146","18768","3109","79","38.98","105299","7982500","0.6109921608903279","46.318055483024935","Games + Demos"
"The Elder Scrolls Online","72","The Elder Scrolls Online","401502600","17099400","59777","266","14178","3098","131","23.48","102726","7332533","0.3604547527983438","25.729088739955788","The Elder Scrolls Online"
"Age of Empires II","73","Age of Empires II","399791280","6259740","65918","131","6968","3084","48","63.87","104905","6946628","1.0055209960797094","66.58386450555454","Age of Empires II"
"Mafia: Definitive Edition","74","Mafia: Definitive Edition","395912880","8158020","181475","1449","16405","3054","62","48.53","85182","8667778","0.6264902513109799","63.74913030367663","Mafia: Definitive Edition"
"Super Smash Bros. Ultimate","75","Super Smash Bros. Ultimate","392869020","21420480","65023","2165","25048","3031","165","18.34","265110","6377119","0.7425884013803612","17.862678147268408","Super Smash Bros. Ultimate"
"Baldur's Gate 3","76","Baldur's Gate 3","378645120","9021000","188863","1489","15674","2921","69","41.97","55333","9033376","0.36802793481875623","60.08231459926837","Baldur's Gate 3"
"Animal Crossing: New Horizons","77","Animal Crossing: New Horizons","377600640","16720500","28955","534","22351","2913","129","22.58","368381","7664166","1.321901857001884","27.50216560509554","Animal Crossing: New Horizons"
"Warcraft III","78","Warcraft III","369920760","5776320","41560","103","4253","2854","44","64.04","37276","6793548","0.38719461525677246","70.5661874688383","Warcraft III"
"Raft","79","Raft","366800340","12582780","84743","434","28646","2830","97","29.15","182482","5736196","0.870151111280655","27.35260093556432","Raft"
"Heroes of Might and Magic III: The Restoration of Erathia","80","Heroes of Might and Magic III: The Restoration of Erathia","363653460","2274120","18675","53","1227","2805","17","159.91","32474","6640297","0.8567885599704501","175.19648039681283","Heroes of Might and Magic III: The Restoration of Erathia"
"Dofus","81","Dofus","357687300","6283380","32074","294","4654","2759","48","56.93","124673","5852436","1.190502563906687","55.88491544359883","Dofus"
"Street Fighter V","82","Street Fighter V","346084320","8716860","46923","145","10608","2670","67","39.7","83808","14763455","0.5768682759617568","101.61999848569324","Street Fighter V"
"Heroes of the Storm","83","Heroes of the Storm","342965580","13896720","22098","201","11827","2646","107","24.68","46715","4664904","0.2016950762482082","20.141028962229935","Heroes of the Storm"
"Crusader Kings III","84","Crusader Kings III","338427660","7143780","59173","327","9149","2611","55","47.37","89620","6409953","0.7527107497711296","53.83664950488397","Crusader Kings III"
"Yakuza: Like a Dragon","85","Yakuza: Like a Dragon","330173940","6652920","41207","540","5400","2547","51","49.63","22346","4323958","0.20152955394022473","38.99603181760791","Yakuza: Like a Dragon"
"Food & Drink","86","Food & Drink","328811520","5949420","92482","218","14440","2537","45","55.27","200427","11605905","2.0213096402674546","117.04574563570903","Food & Drink"
"Dark Souls III","87","Dark Souls III","327022920","24582660","22247","482","38921","2523","189","13.3","119229","4953674","0.29100756386819","12.090654144018588","Dark Souls III"
"Virtual Casino","88","Virtual Casino","318375600","2939100","16693","70","1579","2456","22","108.32","124446","8050603","2.540491987343064","164.34833112177196","Virtual Casino"
"Red Dead Redemption 2","89","Red Dead Redemption 2","313759020","38943360","38316","739","48178","2420","300","8.06","143128","4681352","0.22051718187644825","7.212554848888232","Red Dead Redemption 2"
"Tekken 7","90","Tekken 7","301760520","11225580","48907","242","16007","2328","86","26.88","126704","10391842","0.677224695739552","55.54372424409251","Tekken 7"
"ARK: Survival Evolved","91","ARK: Survival Evolved","296842980","37840500","27252","626","40256","2290","291","7.84","189409","3693800","0.3003274269631744","5.856899353866889","ARK: Survival Evolved"
"Spellbreak","92","Spellbreak","290540460","23771400","44639","1472","64237","2241","183","12.22","170548","6300233","0.43047022893056364","15.902049521694137","Spellbreak"
"The Sims 4","93","The Sims 4","276369960","13582140","82565","298","28735","2132","104","20.35","195928","6221859","0.8655248731054164","27.485472834177823","The Sims 4"
"Jackbox Party Packs","94","Jackbox Party Packs","272881500","9957480","82195","461","36353","2105","76","27.4","178862","4183852","1.0777546126128297","25.210306222056182","Jackbox Party Packs"
"Legends of Runeterra","95","Legends of Runeterra","270662700","5289600","70937","126","6828","2088","40","51.17","81507","6759619","0.9245349364791289","76.67444419237749","Legends of Runeterra"
"Marbles On Stream","96","Marbles On Stream","268760880","8252040","70942","147","20627","2073","63","32.57","258421","4644911","1.8789608387744121","33.77281981182835","Marbles On Stream"
"Amnesia: Rebirth","97","Amnesia: Rebirth","266484120","5035920","244510","1122","13466","2056","38","52.92","83980","4655939","1.0005718915312396","55.47275175141782","Amnesia: Rebirth"
"Warframe","98","Warframe","263612820","22721520","129996","356","23797","2034","175","11.6","100930","5672803","0.2665226622162602","14.979991655487837","Warframe"
"osu!","99","osu!","261781020","33202980","35849","468","59614","2019","256","7.88","324598","5967528","0.5865702415867491","10.783721220203729","osu!"
"Watch Parties","100","Watch Parties","254699580","4409820","119936","180","17161","1965","34","57.76","64994","21331681","0.8843082030559071","290.2387988625386","Watch Parties"
