"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio","Followers gained","Views gained","FPR","VPR",""
"Just Chatting","1","Just Chatting","36769965300","491274300","986105","8045","707072","283718","3790","74.85","45133788","862940641","5.512251058115599","105.39211690902619","Just Chatting"
"League of Legends","2","League of Legends","24902753160","590709720","2020835","8877","476336","192150","4557","42.16","10617498","500335985","1.0784482774381976","50.820492847146646","League of Legends"
"Among Us","3","Among Us","19430619180","350475300","776257","12317","757873","149927","2704","55.44","18748823","360827251","3.2097251361222887","61.77221350548812","Among Us"
"Fortnite","4","Fortnite","15408645960","1089269160","1585293","129860","1134749","118893","8404","14.15","26395543","357692891","1.4539405301808048","19.70272752420531","Fortnite"
"Call of Duty: Warzone","5","Call of Duty: Warzone","11534428260","961471200","396270","22121","757002","89000","7418","12","8929035","159785450","0.557210762007224","9.971309593048653","Call of Duty: Warzone"
"Counter-Strike: Global Offensive","6","Counter-Strike: Global Offensive","10601344200","210818460","551755","3961","275289","81800","1626","50.29","5702084","285678451","1.6228419465733692","81.30553206773259","Counter-Strike: Global Offensive"
"Minecraft","7","Minecraft","10467058860","341267880","591072","6133","557521","80764","2633","30.67","11433711","159582352","2.010217486626635","28.056965454821004","Minecraft"
"Grand Theft Auto V","8","Grand Theft Auto V","9872161200","228233760","318681","4209","241046","76174","1761","43.25","6220971","169031735","1.6354208947878701","44.43647644415094","Grand Theft Auto V"
"World of Warcraft","9","World of Warcraft","7537624860","245702040","933430","25791","152236","58160","1895","30.68","1878270","153476884","0.4586701844233772","37.47878137275539","World of Warcraft"
"FIFA 21","10","FIFA 21","7368395100","134798520","474733","4322","174397","56854","1040","54.66","5205354","116105803","2.316948583708486","51.67970820451144","FIFA 21"
"VALORANT","11","VALORANT","7034505300","355710720","286887","4969","370778","54278","2744","19.78","6011159","201151404","1.013940597573219","33.92949259443179","VALORANT"
"Dota 2","12","Dota 2","6583185600","106683420","222257","1585","58018","50796","823","61.71","1726288","142057336","0.9708845104515772","79.89470303820406","Dota 2"
"Apex Legends","13","Apex Legends","5765918700","412288140","266326","9790","384073","44490","3181","13.99","2792916","105074383","0.4064510805476966","15.291400281366329","Apex Legends"
"Hearthstone","14","Hearthstone","4419257160","34433040","142885","964","31509","34099","265","128.34","657155","66051636","1.1451007520683623","115.09579636302807","Hearthstone"
"Phasmophobia","15","Phasmophobia","4244253540","195873000","256449","8907","325512","32748","1511","21.67","2657992","71795779","0.8141985878605015","21.992549968602106","Phasmophobia"
"Call of Duty: Black Ops Cold War","16","Call of Duty: Black Ops Cold War","4183510980","209264160","705050","23867","267189","32280","1614","19.99","2351611","84996205","0.6742514341681825","24.3700225590469","Call of Duty: Black Ops Cold War"
"Dead by Daylight","17","Dead by Daylight","3559078080","177494100","96000","3242","168218","27462","1369","20.05","1585358","54480958","0.5359134754338313","18.4167106399593","Dead by Daylight"
"Music","18","Music","3523687980","126849600","293752","1929","78037","27188","978","27.78","2754720","195182382","1.3029855829265524","92.32148087183562","Music"
"Rocket League","19","Rocket League","3468627600","191722920","243644","3520","515897","26764","1479","18.09","3961991","71284336","1.2399115348337069","22.30854902481143","Rocket League"
"Genshin Impact","20","Genshin Impact","3302152620","191303280","212270","5816","243531","25479","1476","17.26","2093772","71609875","0.6566867018694086","22.459586160780933","Genshin Impact"
"Teamfight Tactics","21","Teamfight Tactics","2850737340","59063940","122784","1567","78158","21996","455","48.27","664613","52461900","0.6751459519971069","53.29332922930641","Teamfight Tactics"
"Escape From Tarkov","22","Escape From Tarkov","2641457400","115799700","131735","1596","55983","20381","893","22.81","899530","53057890","0.4660789276656157","27.491205935766672","Escape From Tarkov"
"Slots","23","Slots","2386927080","15485880","112324","224","7422","18417","119","154.14","769023","23061791","2.979577524816155","89.35284659315454","Slots"
