"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio","Followers gained","Views gained","FPR","VPR",""
"Teamfight Tactics","27","Teamfight Tactics","161400480","3616920","43424","510","11333","16011","358","44.62","41268","2805916","0.684582462426595","46.54649812547692","Teamfight Tactics"
"Chess","28","Chess","160689180","996120","96998","185","3377","15941","98","161.32","63977","10084533","3.853571858812191","607.4288037585833","Chess"
"Special Events","29","Special Events","155672460","564840","127149","195","1189","15443","56","275.6","27979","2614382","2.972062885064797","277.7121308689186","Special Events"
"Call Of Duty: Modern Warfare","30","Call Of Duty: Modern Warfare","147697800","55765200","41646","11005","109073","14652","5532","2.65","120145","1491657","0.1292687912891911","1.604933184136343","Call Of Duty: Modern Warfare"
"PLAYERUNKNOWN'S BATTLEGROUNDS","31","PLAYERUNKNOWN'S BATTLEGROUNDS","144290580","9126180","53650","1364","18034","14314","905","15.81","57850","3955906","0.3803343786776066","26.008073476525777","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Phasmophobia","32","Phasmophobia","133262640","10919220","88767","2373","46909","13220","1083","12.2","96189","2520122","0.5285487424925956","13.847813305345987","Phasmophobia"
"Art","33","Art","133223400","8011980","30804","1130","23622","13216","794","16.63","123783","3595426","0.9269843409494283","26.925374252057544","Art"
"Destiny 2","34","Destiny 2","132217140","11903700","55622","2663","24335","13116","1180","11.11","37630","3268597","0.18967211875299278","16.47519846770332","Destiny 2"
"Demon's Souls","35","Demon's Souls","125948580","2320620","48928","401","5447","12494","230","54.27","22894","3156920","0.5919280192362386","81.62266980375934","Demon's Souls"
"DayZ","36","DayZ","100738080","3253800","41585","573","5916","9993","322","30.96","37639","1589828","0.6940623271252074","29.31639314032823","DayZ"
"NBA 2K21","37","NBA 2K21","88703160","7100400","43335","1438","16482","8799","704","12.49","77410","1019008","0.6541321615683623","8.610850092952509","NBA 2K21"
"ASMR","38","ASMR","81865320","1245540","16611","168","1329","8121","123","65.73","66336","1484389","3.195529649790452","71.50580471120959","ASMR"
"Poker","39","Poker","80767440","1182360","57052","301","1989","8012","117","68.31","24943","1476363","1.2657566223485233","74.91946615244088","Poker"
"Talk Shows & Podcasts","40","Talk Shows & Podcasts","79528260","2057520","83184","398","5921","7889","204","38.65","27621","2622904","0.805464831447568","76.48734398693573","Talk Shows & Podcasts"
"Rust","41","Rust","77195160","3195360","31260","877","6517","7658","317","24.16","31816","1318928","0.5974162535676731","24.76581042511642","Rust"
"Assassin's Creed Valhalla","42","Assassin's Creed Valhalla","73389000","5932380","20299","1073","16130","7280","588","12.37","29905","1270712","0.3024587096578439","12.851961607314434","Assassin's Creed Valhalla"
"Magic: The Gathering","43","Magic: The Gathering","72123600","1053840","42987","210","2602","7155","104","68.44","9235","1627758","0.525791391482578","92.6758141653382","Magic: The Gathering"
"Path of Exile","44","Path of Exile","66075660","2077020","30439","949","2577","6555","206","31.81","5973","965006","0.17254528122020973","27.87665020076841","Path of Exile"
"World of Warships","45","World of Warships","62360400","1047120","62728","193","1927","6186","103","59.55","15053","2830890","0.862537245014898","162.21006188402475","World of Warships"
"World of Tanks","46","World of Tanks","60326640","2619360","20749","530","4431","5984","259","23.03","17569","1166783","0.4024418178486348","26.726750045812718","World of Tanks"
"StarCraft II","47","StarCraft II","58600320","882120","15813","135","1929","5813","87","66.43","9055","1324794","0.6159025982859475","90.1097809821793","StarCraft II"
"VRChat","48","VRChat","55360500","1348320","51764","358","3892","5492","133","41.06","31647","708539","1.4082858668565326","31.529859380562478","VRChat"
"Yakuza: Like a Dragon","49","Yakuza: Like a Dragon","55266900","1158000","26034","206","2051","5482","114","47.73","4151","489112","0.21507772020725388","25.34259067357513","Yakuza: Like a Dragon"
"Tibia","50","Tibia","54683460","1943760","9912","363","2627","5424","192","28.13","21011","1373743","0.648567724410421","42.40471045808125","Tibia"
"Madden NFL 21","51","Madden NFL 21","54455520","3460560","34876","872","11334","5402","343","15.74","18220","749143","0.31590262847631595","12.988816838893127","Madden NFL 21"
"Old School RuneScape","52","Old School RuneScape","54305520","1751340","11035","282","3051","5387","173","31.01","19314","681204","0.6616876220494021","23.33769570728699","Old School RuneScape"
"Football Manager 2021","53","Football Manager 2021","53688180","649740","24131","146","1385","5326","64","82.63","9251","613406","0.8542801736079046","56.64475020777542","Football Manager 2021"
"Sports","54","Sports","51676440","610260","74536","151","1729","5126","60","84.68","22058","6819767","2.1687149739455314","670.5109625405565","Sports"
"SMITE","55","SMITE","51224880","2834580","9116","555","6562","5081","281","18.07","10252","678939","0.21700569396524352","14.371208432995365","SMITE"
"Dungeons & Dragons","56","Dungeons & Dragons","48402420","1232640","72421","464","4209","4801","122","39.27","5590","473719","0.27209890965732086","23.0587519470405","Dungeons & Dragons"
"Jackbox Party Packs","57","Jackbox Party Packs","45953340","821640","82195","316","5260","4558","81","55.93","30217","559317","2.2065868263473054","40.8439462538338","Jackbox Party Packs"
"Pokémon Sword/Shield","58","Pokémon Sword/Shield","45506880","2058000","11805","353","5390","4514","204","22.11","25622","563553","0.746997084548105","16.4301166180758","Pokémon Sword/Shield"
"Retro","59","Retro","42408060","1959720","7309","313","4235","4207","194","21.64","8499","481598","0.26021064233666036","14.744902332986346","Retro"
"Cuphead","60","Cuphead","42353100","492720","88216","105","2579","4201","48","85.96","23897","516632","2.910009741841208","62.911836337067705","Cuphead"
"Sea of Thieves","61","Sea of Thieves","42269280","4048260","10470","792","10434","4193","401","10.44","21079","893174","0.312415704524907","13.237894799247083","Sea of Thieves"
"Black Desert Online","62","Black Desert Online","41956980","1829340","15866","264","2987","4162","181","22.94","13256","1038620","0.43477975663353996","34.06540063629506","Black Desert Online"
"Heroes of Might and Magic III: The Restoration of Erathia","63","Heroes of Might and Magic III: The Restoration of Erathia","40894200","258420","11717","56","322","4056","25","158.25","3573","811576","0.8295797538890178","188.4318551195728","Heroes of Might and Magic III: The Restoration of Erathia"
"War Thunder","64","War Thunder","39822180","1499040","24085","335","3286","3950","148","26.57","19492","417376","0.7801793147614473","16.705731668267692","War Thunder"
"The Elder Scrolls Online","65","The Elder Scrolls Online","39396420","1388760","22809","251","2830","3908","137","28.37","9503","1005469","0.4105677006826233","43.440292059103086","The Elder Scrolls Online"
"Animal Crossing: New Horizons","66","Animal Crossing: New Horizons","39216240","1442340","28955","248","4985","3890","143","27.19","32267","1215916","1.342277132992221","50.58097258621407","Animal Crossing: New Horizons"
"Tabletop RPGs","67","Tabletop RPGs","39048480","264540","74564","101","972","3873","26","147.61","4612","623231","1.0460421864368337","141.35427534588342","Tabletop RPGs"
"Age of Empires II","68","Age of Empires II","38530860","641580","33090","123","1641","3822","63","60.06","9866","568780","0.9226596839053587","53.1918077246797","Age of Empires II"
"Hades","69","Hades","36997980","1914240","19184","345","6649","3670","189","19.33","8576","536741","0.2688064192577733","16.823627131394183","Hades"
"Super Smash Bros. Ultimate","70","Super Smash Bros. Ultimate","36698460","1619460","67541","423","5455","3640","160","22.66","17341","570775","0.6424734170649475","21.146863769404618","Super Smash Bros. Ultimate"
"Fall Guys: Ultimate Knockout","71","Fall Guys: Ultimate Knockout","35547420","2575680","11324","466","13653","3526","255","13.8","29974","602858","0.6982389116660455","14.04346813268729","Fall Guys: Ultimate Knockout"
"Golf It!","72","Golf It!","34464360","84060","97994","35","630","3419","8","410","18628","718662","13.29621698786581","512.9635974304068","Golf It!"
"Clash Royale","73","Clash Royale","34086540","404280","21148","73","1358","3381","40","84.31","30546","1144274","4.533392698130009","169.82398337785693","Clash Royale"
"StarCraft","74","StarCraft","33704640","255840","22820","45","570","3343","25","131.74","5729","845924","1.3435741088180113","198.3874296435272","StarCraft"
"Dark Souls III","75","Dark Souls III","33291960","2914260","10178","467","7930","3302","289","11.42","10746","563857","0.22124312861584072","11.608923019909","Dark Souls III"
"Raft","76","Raft","33192660","1311780","28713","240","4456","3292","130","25.3","30575","477388","1.3984814526826144","21.835429721447195","Raft"
"Tekken 7","77","Tekken 7","32863320","945420","45874","143","3425","3260","93","34.76","12118","1417114","0.769055023164308","89.93552072094941","Tekken 7"
"Spelunky 2","78","Spelunky 2","32815620","279360","9320","55","882","3255","27","117.47","2631","356455","0.5650773195876289","76.55820446735395","Spelunky 2"
"Science & Technology","79","Science & Technology","31123920","2516880","6903","360","3718","3087","249","12.37","85112","445884","2.0289882711929055","10.629445980738057","Science & Technology"
"ARK: Survival Evolved","80","ARK: Survival Evolved","30130080","3539640","14509","590","7164","2989","351","8.51","19326","393119","0.3275926365393091","6.663711563887853","ARK: Survival Evolved"
"Rogue Company","81","Rogue Company","30061020","3395940","41768","688","11079","2982","336","8.85","21929","1369000","0.3874450078623297","24.18770649658121","Rogue Company"
"Farming Simulator 19","82","Farming Simulator 19","29667060","1203420","35698","276","2605","2943","119","24.65","7786","328713","0.38819364810290674","16.38894151667747","Farming Simulator 19"
"F1 2020","83","F1 2020","28457700","1095180","73381","548","4933","2823","108","25.98","22192","559923","1.2158001424423381","30.67566975291733","F1 2020"
"FINAL FANTASY XIV Online","84","FINAL FANTASY XIV Online","27708300","3022680","11919","761","6994","2748","299","9.17","5909","359737","0.11729326293223233","7.140755885505578","FINAL FANTASY XIV Online"
"Warcraft III","85","Warcraft III","27582120","488760","11299","86","818","2736","48","56.43","2664","546981","0.32703167198625094","67.14718880432113","Warcraft III"
"Virtual Casino","86","Virtual Casino","27304440","173820","12794","42","431","2708","17","157.08","16436","348568","5.673455298584742","120.32033137728685","Virtual Casino"
"Heroes of the Storm","87","Heroes of the Storm","27043200","1059840","7890","163","2241","2682","105","25.52","3075","382209","0.1740828804347826","21.63773777173913","Heroes of the Storm"
"Red Dead Redemption 2","88","Red Dead Redemption 2","26737140","4403340","6769","739","9977","2652","436","6.07","15662","382100","0.2134107291283435","5.2065023368624725","Red Dead Redemption 2"
"Empire of Sin","89","Empire of Sin","26702280","388380","38640","201","1028","2649","38","68.75","1651","567820","0.25505947783099026","87.72130387764561","Empire of Sin"
"The Sims 4","90","The Sims 4","26415060","1312560","12234","238","5505","2620","130","20.12","16866","440239","0.7709818979703785","20.124291460961786","The Sims 4"
"Gwent: The Witcher Card Game","91","Gwent: The Witcher Card Game","25979100","234060","18301","50","481","2577","23","110.99","4973","308820","1.2748013329915406","79.16431684183543","Gwent: The Witcher Card Game"
"Dark Souls","92","Dark Souls","25697220","1154580","20422","214","3402","2549","114","22.26","5242","1326806","0.27241074676505744","68.95005976199137","Dark Souls"
"MapleStory","93","MapleStory","25366560","1004340","14596","177","1994","2516","99","25.26","6128","661926","0.36609116434673517","39.543939303423144","MapleStory"
"League of Legends: Wild Rift","94","League of Legends: Wild Rift","25168920","387780","82519","129","851","2496","38","64.91","11023","1084590","1.7055546959616277","167.8152560730311","League of Legends: Wild Rift"
"Food & Drink","95","Food & Drink","24247680","551700","12782","107","2413","2405","54","43.95","13106","569534","1.4253398586188146","61.93953235454051","Food & Drink"
"A Way Out","96","A Way Out","23528160","386460","51334","91","1473","2334","38","60.88","8593","338952","1.3341096103089582","52.62412668840242","A Way Out"
"Slay the Spire","97","Slay the Spire","23279580","306120","8000","53","1075","2309","30","76.05","1094","233802","0.21442571540572325","45.82555860446884","Slay the Spire"
"Marvel's Spider-Man: Miles Morales","98","Marvel's Spider-Man: Miles Morales","23078880","1649520","20221","311","5135","2289","163","13.99","12675","460154","0.46104321257092973","16.737741888549397","Marvel's Spider-Man: Miles Morales"
"Twin Mirror","99","Twin Mirror","22671300","240660","40361","82","814","2249","23","94.2","8731","520723","2.176763899276988","129.82373472949388","Twin Mirror"
"Total War: Warhammer II","100","Total War: Warhammer II","22472940","584760","11189","209","1214","2229","58","38.43","2813","364650","0.28863123332649293","37.41534988713318","Total War: Warhammer II"
