"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio","Followers gained","Views gained","FPR","VPR",""
"Just Chatting","1","Just Chatting","3246123660","41857140","785743","6072","163158","322036","4152","77.55","3461128","71713548","4.961344229443292","102.79758435478392","Just Chatting"
"Fortnite","2","Fortnite","1965773160","113456280","1585293","129860","279896","195017","11255","17.33","3210205","44016741","1.6976786124135217","23.277728302038458","Fortnite"
"League of Legends","3","League of Legends","1422387060","46959960","311299","7979","108903","141109","4658","30.29","766447","32088474","0.9792772395887901","40.998936966726546","League of Legends"
"Minecraft","4","Minecraft","1173761100","33863400","460100","6027","110534","116444","3359","34.66","1211402","17561108","2.146391679512394","31.11520048193625","Minecraft"
"World of Warcraft","5","World of Warcraft","1071814680","31296300","225903","5698","50702","106330","3104","34.25","207088","19905871","0.3970207340803865","38.16273041861179","World of Warcraft"
"Counter-Strike: Global Offensive","6","Counter-Strike: Global Offensive","1069053180","19989240","364834","3961","58658","106056","1983","53.48","523845","31126367","1.572380940946229","93.42936599890741","Counter-Strike: Global Offensive"
"Grand Theft Auto V","7","Grand Theft Auto V","880483200","20771640","262859","4208","46391","87349","2060","42.39","515783","14878874","1.4898669532112052","42.97842828009728","Grand Theft Auto V"
"Among Us","8","Among Us","835819500","13792980","395601","3332","65672","82918","1368","60.6","807217","14041175","3.5114253772571264","61.07965791293832","Among Us"
"VALORANT","9","VALORANT","703484580","27169920","286887","4295","74878","69790","2695","25.89","589144","20096588","1.3010211292488163","44.379787647516075","VALORANT"
"Call of Duty: Warzone","10","Call of Duty: Warzone","682974720","28296660","166382","5275","62760","67755","2807","24.14","456217","10154013","0.9673586918032022","21.530483809749985","Call of Duty: Warzone"
"FIFA 21","11","FIFA 21","671304060","12902220","230405","3646","39646","66597","1279","52.03","407309","10526265","1.8941344977841024","48.95094797639476","FIFA 21"
"Dota 2","12","Dota 2","609856440","8746860","177882","1451","13191","60501","867","69.72","122378","12364250","0.8394646764667549","84.81386463256528","Dota 2"
"Apex Legends","13","Apex Legends","541734360","37268640","135579","5828","91537","53743","3697","14.54","250987","12552339","0.4040721636206741","20.208420269695917","Apex Legends"
"Hearthstone","14","Hearthstone","346225740","2768700","75625","394","6090","34347","274","125.05","30134","5208486","0.6530284971286163","112.87216383140102","Hearthstone"
"Call of Duty: Black Ops Cold War","15","Call of Duty: Black Ops Cold War","342531360","28192920","103314","5757","72757","33981","2796","12.15","228619","7137563","0.4865455582465385","15.190117944505216","Call of Duty: Black Ops Cold War"
"Dead by Daylight","16","Dead by Daylight","337725240","15728400","79655","2857","38722","33504","1560","21.47","177339","5439772","0.6765049210345617","20.751400015259023","Dead by Daylight"
"Rocket League","17","Rocket League","315222060","15955920","112673","3088","86509","31272","1582","19.76","333925","5670124","1.2556781432847495","21.321706300858867","Rocket League"
"Escape From Tarkov","18","Escape From Tarkov","290728920","10218060","60111","1596","15296","28842","1013","28.45","59118","4161742","0.3471383021826061","24.43756642650366","Escape From Tarkov"
"Music","19","Music","275391900","10325220","64117","1762","19761","27320","1024","26.67","213181","12549127","1.2387978173830678","72.92315514826802","Music"
"Slots","20","Slots","206281260","1254480","74613","222","1818","20464","124","164.44","107427","1917286","5.138081117275684","91.70107136024488","Slots"
"Genshin Impact","21","Genshin Impact","191457960","9614640","64426","2231","26945","18993","953","19.91","839370","3114879","5.238074436484362","19.438350265844587","Genshin Impact"
"Tom Clancy's Rainbow Six Siege","22","Tom Clancy's Rainbow Six Siege","182000640","14825340","63981","2549","43561","18055","1470","12.28","136267","3432395","0.5514895442532852","13.891330654136768","Tom Clancy's Rainbow Six Siege"
"Immortals Fenyx Rising","23","Immortals Fenyx Rising","180193020","2137800","96012","696","4865","17876","212","84.29","27538","5406577","0.7728880157170923","151.74226775189447","Immortals Fenyx Rising"
"Overwatch","24","Overwatch","177009660","9962880","46235","1604","29056","17560","988","17.77","75991","3093365","0.45764477741375986","18.6293421179418","Overwatch"
"Eternal Return: Black Survival","25","Eternal Return: Black Survival","172501020","2155920","85642","452","4662","17113","213","80.01","33969","3537861","0.945369030390738","98.4598964711121","Eternal Return: Black Survival"
"Garena Free Fire","26","Garena Free Fire","163556940","3206040","79642","573","7206","16225","318","51.02","376919","2584397","7.053916981697046","48.36615263689786","Garena Free Fire"
