"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio","Followers gained","Views gained","FPR","VPR",""
"Bugsnax","88","Bugsnax","114368580","1802820","55167","231","5653","2647","41","63.44","23516","1573908","0.7826405298365894","52.3815355942357","Bugsnax"
"Killzone: Shadow Fall","89","Killzone: Shadow Fall","2445240","21420","55051","4","74","56","0","114.16","602","24399","1.6862745098039216","68.34453781512605","Killzone: Shadow Fall"
"Firefighting Simulator","90","Firefighting Simulator","46907820","434400","53385","77","1739","1085","10","107.98","9525","2206932","1.3156077348066297","304.824861878453","Firefighting Simulator"
"In Silence","91","In Silence","37373040","1213860","53176","106","6921","865","28","30.79","25039","843861","1.2376550837823144","41.711284662152146","In Silence"
"OpenTTD","92","OpenTTD","8871480","17160","53133","8","40","205","0","516.99","1111","206341","3.8846153846153846","721.472027972028","OpenTTD"
"Super Smash Bros. Melee","93","Super Smash Bros. Melee","115090740","1598040","52947","140","3038","2664","36","72.02","31966","1153082","1.2001952391679809","43.29360967184802","Super Smash Bros. Melee"
"VRChat","94","VRChat","232086960","5588460","51764","358","9698","5372","129","41.53","149850","2900044","1.6088510967243213","31.136062528854104","VRChat"
"A Way Out","95","A Way Out","42641040","2206200","51334","158","6876","987","51","19.33","24979","685620","0.6793309763394071","18.646178950231167","A Way Out"
"Outlast","96","Outlast","23575860","1831500","51084","132","9088","545","42","12.87","27358","326631","0.8962489762489763","10.70044226044226","Outlast"
"Kukoro: Stream Chat Games","97","Kukoro: Stream Chat Games","10969140","197220","51032","22","740","253","4","55.62","13650","270579","4.152722847581381","82.3179190751445","Kukoro: Stream Chat Games"
"Rust","98","Rust","403233060","13237620","50077","877","17574","9334","306","30.46","235901","6312601","1.0692299673204095","28.61209643425329","Rust"
"Tekken 7","99","Tekken 7","154694520","4665300","48907","242","9373","3580","107","33.16","60115","3667314","0.7731335605427304","47.16499260497717","Tekken 7"
"Slender: The Arrival","100","Slender: The Arrival","8166660","68040","48740","10","778","189","1","120.03","5944","53707","5.241622574955908","47.360670194003525","Slender: The Arrival"
